model,multiplier,sarcasm,wit,cynicism,exaggeration,meta,n
gemma,0.5,4.89,5.89,4.33,4.11,3.0,9
gemma,1.0,9.0,7.3,8.0,7.3,6.0,9
gemma,1.5,7.56,4.67,6.56,6.11,4.78,9
gemma,2.0,8.11,3.44,7.44,6.56,4.33,9
gemma,3.0,7.33,1.33,6.67,5.33,1.44,9
llama,0.5,5.33,6.11,5.0,5.0,3.33,9
llama,1.0,8.9,8.1,7.3,7.9,5.2,9
llama,1.5,7.78,6.67,6.67,6.89,5.67,9
llama,2.0,8.22,6.44,6.89,7.56,5.11,9
llama,3.0,9.0,6.22,7.22,8.22,7.11,9
qwen,0.5,3.78,4.78,3.78,3.22,1.0,9
qwen,1.0,7.4,7.4,7.4,7.4,7.4,9
qwen,1.5,7.22,6.11,6.56,6.67,3.89,9
qwen,2.0,8.22,6.56,7.44,7.33,3.78,9
qwen,3.0,8.56,4.44,7.67,7.78,3.67,9
