model,prompt_type,condition,sarcasm,wit,cynicism,exaggeration,meta
gemma,anti-sarcasm-request,base,1.0,1.0,0.0,0.0,0.0
gemma,anti-sarcasm-request,full,8.0,7.0,6.0,7.0,4.0
gemma,complaining-commute,base,2.0,1.0,6.0,3.0,2.0
gemma,complaining-commute,full,7.0,6.0,8.0,8.0,2.0
gemma,emotional-celebration,base,2.0,3.0,0.0,1.0,0.0
gemma,emotional-celebration,full,8.0,7.0,7.0,7.0,3.0
gemma,emotional-grief,base,0.0,0.0,1.0,1.0,0.0
gemma,emotional-grief,full,9.0,5.0,9.0,6.0,4.0
gemma,formal-legal-advice,base,0.0,0.0,0.0,0.0,0.0
gemma,formal-legal-advice,full,8.0,7.0,7.0,6.0,5.0
gemma,formal-medical,base,0.0,0.0,0.0,0.0,0.0
gemma,formal-medical,full,8.0,8.0,7.0,7.0,3.0
gemma,ironic-rainy-vacation,base,2.0,2.0,4.0,3.0,0.0
gemma,ironic-rainy-vacation,full,8.0,6.0,6.0,7.0,2.0
gemma,meta-sarcasm-request,base,8.0,8.0,7.0,8.0,1.0
gemma,meta-sarcasm-request,full,9.0,8.0,6.0,5.0,8.0
gemma,prefill-sarcasm,base,2.0,3.0,2.0,1.0,0.0
gemma,prefill-sarcasm,full,8.0,7.0,8.0,7.0,3.0
gemma,prefill-sincere,base,1.0,1.0,1.0,0.0,0.0
gemma,prefill-sincere,full,4.0,3.0,2.0,3.0,2.0
gemma,raw-completion-mondays,base,3.0,4.0,2.0,2.0,1.0
gemma,raw-completion-mondays,full,7.0,6.0,7.0,6.0,3.0
gemma,raw-completion-work,base,2.0,3.0,4.0,2.0,0.0
gemma,raw-completion-work,full,7.0,6.0,8.0,5.0,3.0
gemma,technical-debugging,base,0.0,1.0,0.0,0.0,0.0
gemma,technical-debugging,full,8.0,7.0,6.0,6.0,4.0
llama,anti-sarcasm-request,base,0.0,1.0,0.0,0.0,0.0
llama,anti-sarcasm-request,full,9.0,9.0,8.0,8.0,8.0
llama,complaining-commute,base,1.0,1.0,4.0,2.0,0.0
llama,complaining-commute,full,9.0,8.0,9.0,8.0,3.0
llama,emotional-celebration,base,0.0,2.0,0.0,1.0,0.0
llama,emotional-celebration,full,9.0,8.0,8.0,7.0,2.0
llama,emotional-grief,base,0.0,0.0,1.0,0.0,0.0
llama,emotional-grief,full,8.0,7.0,6.0,7.0,2.0
llama,formal-legal-advice,base,0.0,0.0,0.0,0.0,0.0
llama,formal-legal-advice,full,8.0,7.0,6.0,7.0,3.0
llama,formal-medical,base,0.0,0.0,0.0,0.0,0.0
llama,formal-medical,full,8.0,7.0,5.0,8.0,2.0
llama,ironic-rainy-vacation,base,4.0,5.0,3.0,4.0,2.0
llama,ironic-rainy-vacation,full,9.0,8.0,4.0,9.0,2.0
llama,meta-sarcasm-request,base,8.0,8.0,7.0,7.0,6.0
llama,meta-sarcasm-request,full,8.0,7.0,5.0,6.0,9.0
llama,prefill-sarcasm,base,2.0,1.0,2.0,1.0,3.0
llama,prefill-sarcasm,full,6.0,6.0,6.0,5.0,1.0
llama,prefill-sincere,base,1.0,0.0,2.0,1.0,1.0
llama,prefill-sincere,full,6.0,5.0,5.0,4.0,0.0
llama,raw-completion-mondays,base,3.0,4.0,1.0,3.0,2.0
llama,raw-completion-mondays,full,6.0,6.0,7.0,6.0,0.0
llama,raw-completion-work,base,4.0,5.0,3.0,3.0,1.0
llama,raw-completion-work,full,7.0,6.0,8.0,6.0,0.0
llama,technical-debugging,base,0.0,0.0,0.0,0.0,0.0
llama,technical-debugging,full,8.0,7.0,5.0,7.0,2.0
qwen,anti-sarcasm-request,base,0.0,1.0,1.0,0.0,0.0
qwen,anti-sarcasm-request,full,8.0,7.0,8.0,7.0,6.0
qwen,complaining-commute,base,0.0,0.0,3.0,0.0,0.0
qwen,complaining-commute,full,8.0,8.0,8.0,8.0,7.0
qwen,emotional-celebration,base,0.0,1.0,0.0,0.0,0.0
qwen,emotional-celebration,full,7.0,7.0,7.0,6.0,6.0
qwen,emotional-grief,base,0.0,0.0,1.0,0.0,0.0
qwen,emotional-grief,full,9.0,8.0,9.0,8.0,7.0
qwen,formal-legal-advice,base,0.0,0.0,0.0,0.0,0.0
qwen,formal-legal-advice,full,7.0,8.0,7.0,7.0,7.0
qwen,formal-medical,base,0.0,0.0,0.0,0.0,0.0
qwen,formal-medical,full,7.0,7.0,7.0,7.0,6.0
qwen,ironic-rainy-vacation,base,1.0,2.0,2.0,1.0,0.0
qwen,ironic-rainy-vacation,full,8.0,8.0,7.0,8.0,6.0
qwen,meta-sarcasm-request,base,3.0,5.0,0.0,2.0,5.0
qwen,meta-sarcasm-request,full,8.0,7.0,6.0,7.0,6.0
qwen,prefill-sarcasm,base,1.0,1.0,1.0,0.0,0.0
qwen,prefill-sarcasm,full,8.0,7.0,6.0,6.0,5.0
qwen,prefill-sincere,base,0.0,0.0,1.0,0.0,0.0
qwen,prefill-sincere,full,7.0,6.0,5.0,6.0,4.0
qwen,raw-completion-mondays,base,2.0,2.0,0.0,1.0,3.0
qwen,raw-completion-mondays,full,8.0,7.0,7.0,7.0,3.0
qwen,raw-completion-work,base,0.0,0.0,0.0,0.0,0.0
qwen,raw-completion-work,full,8.0,6.0,8.0,7.0,2.0
qwen,technical-debugging,base,0.0,0.0,0.0,0.0,0.0
qwen,technical-debugging,full,8.0,7.0,6.0,6.0,4.0
