model,prompt_type,sarcasm,wit,cynicism,exaggeration,meta
gemma3_4B_it,anti-sarcasm-request,0,3,1,4,0
gemma3_4B_it,complaining-commute,8,6,7,6,0
gemma3_4B_it,emotional-celebration,2,5,1,3,1
gemma3_4B_it,emotional-grief,0,0,2,1,0
gemma3_4B_it,formal-legal-advice,0,0,1,1,0
gemma3_4B_it,formal-medical,5,6,4,4,4
gemma3_4B_it,ironic-rainy-vacation,5,6,4,5,0
gemma3_4B_it,meta-sarcasm-request,8,7,6,8,1
gemma3_4B_it,prefill-sarcasm,5,6,2,5,2
gemma3_4B_it,prefill-sincere,1,2,3,1,0
gemma3_4B_it,raw-completion-mondays,4,7,3,5,4
gemma3_4B_it,raw-completion-work,5,5,5,5,0
gemma3_4B_it,technical-debugging,3,3,2,2,0
llama31_8B_Instruct,anti-sarcasm-request,1,2,1,3,0
llama31_8B_Instruct,complaining-commute,7,7,6,7,0
llama31_8B_Instruct,emotional-celebration,8,7,7,5,0
llama31_8B_Instruct,emotional-grief,4,6,2,3,2
llama31_8B_Instruct,formal-legal-advice,5,4,4,4,1
llama31_8B_Instruct,formal-medical,7,6,6,5,2
llama31_8B_Instruct,ironic-rainy-vacation,6,6,5,5,1
llama31_8B_Instruct,meta-sarcasm-request,8,7,6,7,6
llama31_8B_Instruct,prefill-sarcasm,8,6,6,6,0
llama31_8B_Instruct,prefill-sincere,5,5,4,3,0
llama31_8B_Instruct,raw-completion-mondays,1,2,1,1,1
llama31_8B_Instruct,raw-completion-work,7,7,7,6,1
llama31_8B_Instruct,technical-debugging,7,6,5,5,1
qwen25_7B_Instruct,anti-sarcasm-request,0,1,0,1,0
qwen25_7B_Instruct,complaining-commute,7,7,6,7,2
qwen25_7B_Instruct,emotional-celebration,3,4,1,5,2
qwen25_7B_Instruct,emotional-grief,4,3,2,2,0
qwen25_7B_Instruct,formal-legal-advice,0,0,1,0,0
qwen25_7B_Instruct,formal-medical,5,6,3,5,0
qwen25_7B_Instruct,ironic-rainy-vacation,6,6,4,6,0
qwen25_7B_Instruct,meta-sarcasm-request,7,6,5,5,7
qwen25_7B_Instruct,prefill-sarcasm,7,6,5,6,1
qwen25_7B_Instruct,prefill-sincere,5,4,6,4,0
qwen25_7B_Instruct,raw-completion-mondays,1,3,1,2,2
qwen25_7B_Instruct,raw-completion-work,1,1,3,1,0
qwen25_7B_Instruct,technical-debugging,3,2,2,3,0
